"_time","Logon_Type",ComputerName,EventCode
"2026-08-14T08:37:45.000+0700",2,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:45.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:40.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:40.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:40.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:40.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:40.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:40.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:40.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:40.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:37.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:37.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:36.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:36.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:36.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:36.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:35.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:35.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:35.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:35.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:35.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:35.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:31.000+0700",,"DESKTOP-IUKE6AK",5024
"2026-08-14T08:37:31.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:31.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:31.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:31.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:31.000+0700",,"DESKTOP-IUKE6AK",4798
"2026-08-14T08:37:30.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:30.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5059
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5061
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5058
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5059
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5061
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",5058
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:29.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:29.000+0700",,"DESKTOP-IUKE6AK",4648
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:28.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:28.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",5033
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:28.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:28.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:28.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:28.000+0700",5,"DESKTOP-IUKE6AK",4624
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4799
"2026-08-14T08:37:27.000+0700",,"DESKTOP-IUKE6AK",4672
"2026-08-14T08:37:27.000+0700",2,"DESKTOP-IUKE6AK",4624
